time_s,ax,ay,az,gx_cal,gy_cal,gz_cal,mx,my,mz
3.481,-9.676,0.306,-0.038,-0.179,-0.081,-0.176,-63.0,226.0,-324.0
3.534,-9.485,0.612,0.421,-0.179,-0.15,0.032,-64.0,225.0,-323.0
3.587,-9.714,0.344,0.115,-0.388,-0.15,-0.107,-65.0,225.0,-324.0
3.64,-9.485,0.421,0.153,-0.179,-0.011,0.102,-63.0,224.0,-325.0
3.693,-9.6,0.497,0.268,-0.11,-0.011,-0.594,-64.0,225.0,-323.0
3.746,-9.638,0.535,0.229,-0.249,-0.081,-0.037,-64.0,225.0,-323.0
3.799,-9.867,0.765,0.229,-0.319,-0.15,0.032,-64.0,225.0,-324.0
3.852,-9.791,0.612,0.115,-0.458,-0.081,0.032,-63.0,225.0,-325.0
3.905,-9.447,0.421,0.076,-0.319,-0.011,-0.107,-65.0,224.0,-324.0
3.958,-9.714,0.497,0.0,-0.527,-0.011,-0.176,-64.0,225.0,-324.0
4.011,-9.6,0.535,-0.191,-0.11,0.058,-0.037,-64.0,225.0,-324.0
4.064,-9.714,0.382,0.038,-0.179,-0.011,-0.037,-63.0,225.0,-323.0
4.117,-9.753,0.459,-0.153,-0.527,-0.22,0.102,-64.0,224.0,-324.0
4.17,-9.447,0.344,-0.076,-0.388,-0.011,0.032,-63.0,225.0,-324.0
4.223,-9.638,0.459,0.229,-0.458,0.128,-0.385,-61.0,225.0,-324.0
4.276,-9.6,0.688,0.229,-0.179,-0.011,0.102,-61.0,225.0,-324.0
4.329,-9.523,0.688,0.191,-0.249,0.128,-0.107,-63.0,225.0,-324.0
4.382,-9.408,0.65,0.459,-0.249,-0.011,-0.037,-63.0,225.0,-324.0
4.435,-9.676,0.65,0.344,-0.319,-0.011,0.032,-64.0,225.0,-324.0
4.488,-9.523,0.344,0.038,-0.458,0.058,-0.107,-63.0,225.0,-324.0
4.541,-9.523,0.535,0.229,-0.319,0.197,-0.107,-63.0,225.0,-324.0
4.594,-9.6,0.612,0.268,-0.388,-0.081,-0.107,-64.0,225.0,-325.0
4.647,-9.638,0.535,0.0,-0.388,0.058,0.171,-63.0,225.0,-324.0
4.7,-9.485,0.421,0.268,-0.249,-0.011,0.171,-63.0,225.0,-324.0
4.753,-9.714,0.688,0.038,-0.179,-0.011,-0.455,-63.0,226.0,-323.0
4.806,-9.906,0.497,0.115,-0.597,0.197,0.171,-63.0,226.0,-323.0
